Driving State | speed = 30 | distance = 53
Driving State | speed = 30 | distance = 45
Waiting State | speed = 0 | distance = 55
Driving State | speed = 30 | distance = 54
Driving State | speed = 30 | distance = 47
Waiting State | speed = 0 | distance = 49
Waiting State | speed = 0 | distance = 47
Waiting State | speed = 0 | distance = 53
Driving State | speed = 30 | distance = 50
Waiting State | speed = 0 | distance = 45
Waiting State | speed = 0 | distance = 54
Driving State | speed = 30 | distance = 55
Driving State | speed = 30 | distance = 46
Waiting State | speed = 0 | distance = 53
Driving State | speed = 30 | distance = 48
Waiting State | speed = 0 | distance = 54
Driving State | speed = 30 | distance = 49
Waiting State | speed = 0 | distance = 49
Waiting State | speed = 0 | distance = 53
Driving State | speed = 30 | distance = 53
Driving State | speed = 30 | distance = 47
Waiting State | speed = 0 | distance = 48
Waiting State | speed = 0 | distance = 54
Driving State | speed = 30 | distance = 54
Driving State | speed = 30 | distance = 49
Waiting State | speed = 0 | distance = 54
Driving State | speed = 30 | distance = 55
Driving State | speed = 30 | distance = 48
Waiting State | speed = 0 | distance = 50
Waiting State | speed = 0 | distance = 47
Waiting State | speed = 0 | distance = 51
Driving State | speed = 30 | distance = 53
Driving State | speed = 30 | distance = 53
Driving State | speed = 30 | distance = 45
Waiting State | speed = 0 | distance = 54
Driving State | speed = 30 | distance = 47
Waiting State | speed = 0 | distance = 46
Waiting State | speed = 0 | distance = 52
Driving State | speed = 30 | distance = 55
Driving State | speed = 30 | distance = 55
Driving State | speed = 30 | distance = 52
Driving State | speed = 30 | distance = 51
Driving State | speed = 30 | distance = 46
Waiting State | speed = 0 | distance = 46
Waiting State | speed = 0 | distance = 50
Waiting State | speed = 0 | distance = 52
Driving State | speed = 30 | distance = 46
Waiting State | speed = 0 | distance = 55
Driving State | speed = 30 | distance = 47
Waiting State | speed = 0 | distance = 51
Driving State | speed = 30 | distance = 50
Waiting State | speed = 0 | distance = 48
Waiting State | speed = 0 | distance = 48
Waiting State | speed = 0 | distance = 46
Waiting State | speed = 0 | distance = 52
Driving State | speed = 30 | distance = 53
Driving State | speed = 30 | distance = 48
Waiting State | speed = 0 | distance = 50
Waiting State | speed = 0 | distance = 52
Driving State | speed = 30 | distance = 46
Waiting State | speed = 0 | distance = 53
Driving State | speed = 30 | distance = 48
Waiting State | speed = 0 | distance = 53
Driving State | speed = 30 | distance = 51
Driving State | speed = 30 | distance = 49
Waiting State | speed = 0 | distance = 51
Driving State | speed = 30 | distance = 49
Waiting State | speed = 0 | distance = 46
Waiting State | speed = 0 | distance = 50
Waiting State | speed = 0 | distance = 49
Waiting State | speed = 0 | distance = 55
Driving State | speed = 30 | distance = 47
Waiting State | speed = 0 | distance = 53
Driving State | speed = 30 | distance = 47
Waiting State | speed = 0 | distance = 45
Waiting State | speed = 0 | distance = 49
Waiting State | speed = 0 | distance = 45
Waiting State | speed = 0 | distance = 51
Driving State | speed = 30 | distance = 46
Waiting State | speed = 0 | distance = 50
Waiting State | speed = 0 | distance = 52
Driving State | speed = 30 | distance = 54
Driving State | speed = 30 | distance = 50
Waiting State | speed = 0 | distance = 46
Waiting State | speed = 0 | distance = 49
Waiting State | speed = 0 | distance = 52
Driving State | speed = 30 | distance = 54
Driving State | speed = 30 | distance = 50
Waiting State | speed = 0 | distance = 46
Waiting State | speed = 0 | distance = 48
Waiting State | speed = 0 | distance = 47
Waiting State | speed = 0 | distance = 52
Driving State | speed = 30 | distance = 47
Waiting State | speed = 0 | distance = 51
Driving State | speed = 30 | distance = 49
Waiting State | speed = 0 | distance = 45
Waiting State | speed = 0 | distance = 50
Waiting State | speed = 0 | distance = 54
Driving State | speed = 30 | distance = 48
Waiting State | speed = 0 | distance = 52
Driving State | speed = 30 | distance = 54
Driving State | speed = 30 | distance = 46
Waiting State | speed = 0 | distance = 53
Driving State | speed = 30 | distance = 47
Waiting State | speed = 0 | distance = 48
Waiting State | speed = 0 | distance = 47
Waiting State | speed = 0 | distance = 45
Waiting State | speed = 0 | distance = 54
Driving State | speed = 30 | distance = 46
Waiting State | speed = 0 | distance = 52
Driving State | speed = 30 | distance = 53
Driving State | speed = 30 | distance = 54
Driving State | speed = 30 | distance = 52
Driving State | speed = 30 | distance = 53
Driving State | speed = 30 | distance = 46
Waiting State | speed = 0 | distance = 48
Waiting State | speed = 0 | distance = 52
Driving State | speed = 30 | distance = 47
Waiting State | speed = 0 | distance = 53
Driving State | speed = 30 | distance = 53
Driving State | speed = 30 | distance = 54
Driving State | speed = 30 | distance = 54
Driving State | speed = 30 | distance = 50
Waiting State | speed = 0 | distance = 54
Driving State | speed = 30 | distance = 49
Waiting State | speed = 0 | distance = 52
Driving State | speed = 30 | distance = 49
Waiting State | speed = 0 | distance = 54
Driving State | speed = 30 | distance = 54
Driving State | speed = 30 | distance = 46
Waiting State | speed = 0 | distance = 48
Waiting State | speed = 0 | distance = 55
Driving State | speed = 30 | distance = 49
Waiting State | speed = 0 | distance = 46
Waiting State | speed = 0 | distance = 50
Waiting State | speed = 0 | distance = 51
Driving State | speed = 30 | distance = 52
Driving State | speed = 30 | distance = 47
Waiting State | speed = 0 | distance = 51
Driving State | speed = 30 | distance = 54
Driving State | speed = 30 | distance = 47
Waiting State | speed = 0 | distance = 55
Driving State | speed = 30 | distance = 50
Waiting State | speed = 0 | distance = 55
Driving State | speed = 30 | distance = 45
Waiting State | speed = 0 | distance = 50
Waiting State | speed = 0 | distance = 45
Waiting State | speed = 0 | distance = 46
Waiting State | speed = 0 | distance = 47
Waiting State | speed = 0 | distance = 46
Waiting State | speed = 0 | distance = 55
Driving State | speed = 30 | distance = 52
Driving State | speed = 30 | distance = 47
Waiting State | speed = 0 | distance = 51
Driving State | speed = 30 | distance = 45
Waiting State | speed = 0 | distance = 53
Driving State | speed = 30 | distance = 53
Driving State | speed = 30 | distance = 53
Driving State | speed = 30 | distance = 45
Waiting State | speed = 0 | distance = 49
Waiting State | speed = 0 | distance = 48
Waiting State | speed = 0 | distance = 48
Waiting State | speed = 0 | distance = 49
Waiting State | speed = 0 | distance = 52
Driving State | speed = 30 | distance = 52
Driving State | speed = 30 | distance = 55
Driving State | speed = 30 | distance = 54
Driving State | speed = 30 | distance = 48
Waiting State | speed = 0 | distance = 55
Driving State | speed = 30 | distance = 50
Waiting State | speed = 0 | distance = 48
Waiting State | speed = 0 | distance = 45
Waiting State | speed = 0 | distance = 48
